time,OBS1,OBS2
2630.000000000,0.4400799374E-02,0.7892543909E-13
2640.000000000,0.4208695689E-02,0.9952366275E-13
2650.000000000,0.4025057086E-02,0.1253006834E-12
2660.000000000,0.3849505047E-02,0.1575079833E-12
2670.000000000,0.3681678364E-02,0.1976869517E-12
2680.000000000,0.3521232329E-02,0.2477330586E-12
2690.000000000,0.3367837950E-02,0.3099735499E-12
2700.000000000,0.3221181207E-02,0.3872613652E-12
2710.000000000,0.3080962355E-02,0.4830884840E-12
2720.000000000,0.2946895249E-02,0.6017225042E-12
2730.000000000,0.2818706712E-02,0.7483709573E-12
2740.000000000,0.2696135925E-02,0.9293786839E-12
2750.000000000,0.2578933856E-02,0.1152464555E-11
2760.000000000,0.2466862710E-02,0.1427004942E-11
2770.000000000,0.2359695406E-02,0.1764372648E-11
2780.000000000,0.2257215087E-02,0.2178341534E-11
2790.000000000,0.2159214642E-02,0.2685568833E-11
2800.000000000,0.2065496258E-02,0.3306169209E-11
2810.000000000,0.1975870996E-02,0.4064396972E-11
2820.000000000,0.1890158379E-02,0.4989455625E-11
2830.000000000,0.1808186003E-02,0.6116457066E-11
2840.000000000,0.1729789176E-02,0.7487556436E-11
2850.000000000,0.1654810554E-02,0.9153292788E-11
2860.000000000,0.1583099814E-02,0.1117417058E-10
2870.000000000,0.1514513333E-02,0.1362252255E-10
2880.000000000,0.1448913880E-02,0.1658470078E-10
2890.000000000,0.1386170327E-02,0.2016365013E-10
2900.000000000,0.1326157377E-02,0.2448192634E-10
2910.000000000,0.1268755293E-02,0.2968523060E-10
2920.000000000,0.1213849649E-02,0.3594654302E-10
2930.000000000,0.1161331093E-02,0.4347094971E-10
2940.000000000,0.1111095115E-02,0.5250127173E-10
2950.000000000,0.1063041830E-02,0.6332461997E-10
2960.000000000,0.1017075770E-02,0.7628001767E-10
2970.000000000,0.9731056846E-03,0.9176725180E-10
2980.000000000,0.9310443531E-03,0.1102571375E-09
2990.000000000,0.8908084031E-03,0.1323034046E-09
3000.000000000,0.8523181384E-03,0.1585564428E-09
3010.000000000,0.8154973741E-03,0.1897791766E-09
3020.000000000,0.7802732803E-03,0.2268653712E-09
3030.000000000,0.7465762319E-03,0.2708607175E-09
3040.000000000,0.7143396659E-03,0.3229870809E-09
3050.000000000,0.6834999448E-03,0.3846703536E-09
3060.000000000,0.6539962264E-03,0.4575724027E-09
3070.000000000,0.6257703398E-03,0.5436276663E-09
3080.000000000,0.5987666663E-03,0.6450850182E-09
3090.000000000,0.5729320261E-03,0.7645555974E-09
3100.000000000,0.5482155705E-03,0.9050673784E-09
3110.000000000,0.5245686783E-03,0.1070127350E-08
3120.000000000,0.5019448571E-03,0.1263792274E-08
3130.000000000,0.4802996493E-03,0.1490749094E-08
3140.000000000,0.4595905420E-03,0.1756406204E-08
3150.000000000,0.4397768811E-03,0.2066996896E-08
3160.000000000,0.4208197891E-03,0.2429696469E-08
3170.000000000,0.4026820870E-03,0.2852754627E-08
3180.000000000,0.3853282191E-03,0.3345644972E-08
3190.000000000,0.3687241818E-03,0.3919233585E-08
3200.000000000,0.3528374550E-03,0.4585968886E-08
3210.000000000,0.3376369366E-03,0.5360095185E-08
